+----------------------------------------------+-------+---------+-----------+
| Список материалов схемы 'Unnamed' (1 компонента из 1)                      |
+----------------------------------------------+-------+---------+-----------+
| Item                                         | Total | Missing | Available |
| Наблюдатель                                  |   138 |     138 |         0 |
| Блок мёда                                    |   136 |     136 |         0 |
| Блок слизи                                   |   136 |     136 |         0 |
| Плита из глубинносланцевого кирпича          |   132 |     132 |         0 |
| Кнопка из полированного чернита              |   131 |     131 |         0 |
| Булыжник                                     |   128 |     128 |         0 |
| Саманная ограда                              |   128 |     128 |         0 |
| Оранжевый сухой бетон                        |   127 |     127 |         0 |
| Нить                                         |   125 |     125 |         0 |
| Резной глубинный сланец                      |   120 |     120 |         0 |
| Редстоуновая пыль                            |   119 |     119 |         0 |
| Светло-серый бетон                           |   118 |     118 |         0 |
| Арбуз                                        |   115 |     115 |         0 |
| Окисленная медная лампа                      |   115 |     115 |         0 |
| Серое стекло                                 |   115 |     115 |         0 |
| Красная керамика                             |   110 |     110 |         0 |
| Еловая дверь                                 |   109 |     109 |         0 |
| Синяя глазурованная керамика                 |   107 |     107 |         0 |
| Светящийся лишайник                          |   106 |     106 |         0 |
| Ступеньки из туфового кирпича                |   106 |     106 |         0 |
| Глина                                        |   105 |     105 |         0 |
| Жёлтая глазурованная керамика                |   102 |     102 |         0 |
| Земля                                        |   102 |     102 |         0 |
| Резной красный песчаник                      |   101 |     101 |         0 |
| Лазуритовый блок                             |   100 |     100 |         0 |
| Блок искажённого нароста                     |    99 |      99 |         0 |
| Зелёная глазурованная керамика               |    99 |      99 |         0 |
| Искажённые доски                             |    97 |      97 |         0 |
| Компостница                                  |    97 |      97 |         0 |
| Тыква                                        |    96 |      96 |         0 |
| Акациевые доски                              |    92 |      92 |         0 |
| Древние обломки                              |    90 |      90 |         0 |
| Вишня                                        |    89 |      89 |         0 |
| Плита из туфового кирпича                    |    87 |      87 |         0 |
| Серый ковёр                                  |    87 |      87 |         0 |
| Вощёные резные медные ступеньки              |    84 |      84 |         0 |
| Окисленный медный блок                       |    79 |      79 |         0 |
| Липкий поршень                               |    75 |      75 |         0 |
| Резной туф                                   |    74 |      74 |         0 |
| Ведро с рыхлым снегом                        |    73 |      73 |         0 |
| Кнопка из тёмного дуба                       |    73 |      73 |         0 |
| Белый бетон                                  |    72 |      72 |         0 |
| Дуб                                          |    71 |      71 |         0 |
| Оранжевая керамика                           |    70 |      70 |         0 |
| Резные туфовые кирпичи                       |    69 |      69 |         0 |
| Коричневая керамика                          |    65 |      65 |         0 |
| Белая свеча                                  |    64 |      64 |         0 |
| Обтёсанное дубовое бревно                    |    62 |      62 |         0 |
| Доски из тёмного дуба                        |    60 |      60 |         0 |
| Ведро воды                                   |    59 |      59 |         0 |
| Туфовая ограда                               |    56 |      56 |         0 |
| Жёлтый сухой бетон                           |    54 |      54 |         0 |
| Мангровое дерево                             |    54 |      54 |         0 |
| Оранжевая шерсть                             |    54 |      54 |         0 |
| Вощёные потемневшие резные медные ступеньки  |    52 |      52 |         0 |
| Блок мёртвого трубчатого коралла             |    51 |      51 |         0 |
| Плита из глубинносланцевого плитняка         |    51 |      51 |         0 |
| Гранитная ограда                             |    50 |      50 |         0 |
| Андезит                                      |    48 |      48 |         0 |
| Ограда из каменного кирпича                  |    48 |      48 |         0 |
| Серый флаг                                   |    48 |      48 |         0 |
| Вощёный медный блок                          |    43 |      43 |         0 |
| Ограда из туфового кирпича                   |    43 |      43 |         0 |
| Жёлтое стекло                                |    40 |      40 |         0 |
| Цветочный горшок                             |    40 |      40 |         0 |
| Светло-серая шерсть                          |    37 |      37 |         0 |
| Андезитовая ограда                           |    36 |      36 |         0 |
| Точило                                       |    36 |      36 |         0 |
| Плита из незерского кирпича                  |    35 |      35 |         0 |
| Саманные кирпичи                             |    34 |      34 |         0 |
| Еловая плита                                 |    32 |      32 |         0 |
| Синий василёк                                |    32 |      32 |         0 |
| Обтёсанная еловая древесина                  |    31 |      31 |         0 |
| Обтёсанное еловое бревно                     |    31 |      31 |         0 |
| Красный сухой бетон                          |    30 |      30 |         0 |
| Лаймовый сухой бетон                         |    30 |      30 |         0 |
| Смоляной блок                                |    30 |      30 |         0 |
| Вощёный потемневший медный блок              |    29 |      29 |         0 |
| Свисающий бледный мох                        |    29 |      29 |         0 |
| Магма                                        |    28 |      28 |         0 |
| Блок мёртвого рогового коралла               |    27 |      27 |         0 |
| Красная кровать                              |    27 |      27 |         0 |
| Бледный моховой ковёр                        |    26 |      26 |         0 |
| Каменная кнопка                              |    26 |      26 |         0 |
| Красный флаг                                 |    26 |      26 |         0 |
| Мак                                          |    25 |      25 |         0 |
| Ромашка                                      |    25 |      25 |         0 |
| Бамбуковый забор                             |    24 |      24 |         0 |
| Громоотвод                                   |    24 |      24 |         0 |
| Оранжевый тюльпан                            |    24 |      24 |         0 |
| Куст со светлячками                          |    23 |      23 |         0 |
